$h$,$r$,$\alpha$,$x$
0.05544297731862082,73.09012651409815,0.23719125798134438,3.271660574007516
0.04076490638671429,77.32333333916826,0.5080513972092008,9.04625817244715
0.04445339094289828,77.32333333916826,0.5080513972092008,9.3857557508742
0.05543132480578173,73.09005058821263,0.23725639704726578,2.6913508674064732
0.03707510139064461,89.99624523996506,0.38642745818571933,6.248279504457278
0.03539617036920728,77.8493600586594,0.22994330639623892,2.3588441530693873
0.038606205898641964,74.06755104122495,0.22750635373729797,2.3851534004742683
0.0553633844217643,74.40069606799136,0.23524357721887826,3.26996511299475
0.0626286664285704,73.36071860187519,0.2506413905728349,2.5578155354474457
0.04694542687812493,78.10071350793166,0.2564315792567658,3.2351372845270716
0.04694542687812493,77.4741720409539,0.25145173199296417,3.314484281800318
0.04430860946037803,87.89612726758972,0.46060771252365085,7.643470942932529
0.04858004073345525,73.63008381847872,0.2594838297093446,3.2476379791721763
0.04694542687812493,78.11916697620858,0.25141094606280684,3.2351372845270716
0.05598391663383648,77.97087119492795,0.25262529545502593,3.2351372845270716
0.036553900004231546,76.29075956148647,0.39759336674109147,5.762510975723175
0.04453157529841759,78.55218216489715,0.5054108975479058,9.407315953109237
0.04372753904458342,77.85682087935906,0.4660327848376311,7.627295948008346
0.043134434572574536,81.8284321761014,0.46683236312776777,7.747751251212656
0.044126053985538524,80.10443436497816,0.467138008154781,7.813622305687838
0.043134434572574536,85.65945265864073,0.45940247370902765,7.747751251212656
0.043304154649571165,80.33544343366691,0.38827907056834154,6.1141876681781815
0.03640782995834609,78.0391187876945,0.39759336674109147,5.728260356698654
0.03707510139064461,84.42853602182124,0.38642745818571933,6.240907886724965
0.043134434572574536,84.66167395804706,0.45940247370902765,7.809195540126397
0.0497542156210988,78.10187499822031,0.2606861736459119,3.143985197351513
0.04694542687812493,78.02772921695599,0.25141094606280684,3.2351372845270716
0.04370556482704787,84.42853602182124,0.4578107424478455,7.725016802377493
0.03716378117128399,77.90078708729784,0.3904923422412474,6.402384955377746
0.040738295936649876,85.72304732595931,0.38627294739636997,6.088197882503266
0.043134434572574536,80.10443436497816,0.467138008154781,7.813622305687838
0.05551029001080517,75.95297352265673,0.24889426963266167,2.8549375664086116
0.03708436124509909,86.08371575337598,0.38627294739636997,6.088197882503266
0.0556426952870065,73.61746140104849,0.23649851031750244,3.319877943986798
0.043134434572574536,85.65945265864073,0.459260028327625,8.025941979229339
0.036355302819436705,78.0391187876945,0.39759336674109147,5.7757807668519785
0.040843090742243904,77.80506102943401,0.5054108975479058,9.067818374682187
0.03709503681390748,88.36302790532902,0.386553879911001,6.2324225531746675
0.05612166880840576,73.59667140503312,0.2513868399327112,3.4573071989555855
0.043742941805194134,80.33544343366691,0.38827907056834154,6.1141876681781815
0.043134434572574536,81.70756117861477,0.45940247370902765,7.747751251212656
0.03546131258773034,77.8984049361956,0.22750635373729797,2.3851534004742683
0.04694542687812493,75.95558488476149,0.2572204593989883,3.2351372845270716
0.03707510139064461,89.26588291463717,0.38642745818571933,6.248279504457278
0.043134434572574536,81.8284321761014,0.45940247370902765,7.747751251212656
0.037270979079848,88.36302790532902,0.3880219304805175,6.2324225531746675
0.036355302819436705,76.9740050517324,0.39759336674109147,5.7757807668519785
0.03566974782601122,89.99624523996506,0.38642745818571933,6.248279504457278
